               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10281,            0.019581,            0.072201,           0.0024542,             0.67949,            0.009203,            0.002935,            0.084022,            0.013904,            0.072905,              0.0739,              0.0029,              0.0029
                   1,            0.068273,            0.022085,            0.069145,           0.0037871,                   1,             0.12108,            0.061399,            0.058014,            0.010895,            0.070231,            0.046855,           0.0058551,           0.0058551
                   2,            0.057581,            0.020761,            0.067765,            0.022609,                   1,             0.13826,            0.082718,            0.059303,           0.0095139,            0.069137,            0.019764,           0.0087644,           0.0087644
                   3,            0.053362,            0.018706,            0.067719,             0.33113,             0.21114,             0.19445,             0.10557,            0.050359,           0.0071068,            0.068405,           0.0097715,           0.0097715,           0.0097715
                   4,            0.047879,            0.016246,            0.066918,            0.076846,             0.35598,             0.14907,            0.059042,            0.045884,           0.0065211,            0.069644,           0.0097715,           0.0097715,           0.0097715
                   5,            0.045053,            0.014501,            0.066337,            0.075908,             0.66987,             0.15646,            0.076698,            0.041008,           0.0055275,            0.067967,           0.0096954,           0.0096954,           0.0096954
                   6,            0.040959,            0.011085,            0.066062,            0.061101,             0.80513,             0.22055,            0.089996,            0.047479,           0.0051305,            0.066428,           0.0096192,           0.0096192,           0.0096192
                   7,            0.039026,            0.010382,            0.065945,            0.034844,             0.93974,             0.18611,             0.10993,             0.05452,            0.010709,            0.068189,           0.0095431,           0.0095431,           0.0095431
                   8,            0.039267,           0.0097062,            0.065869,            0.088857,             0.88782,             0.32389,             0.18469,            0.032126,           0.0046969,            0.066694,           0.0094669,           0.0094669,           0.0094669
                   9,            0.036633,           0.0090831,            0.065496,            0.084391,             0.64231,              0.2208,             0.14295,            0.032499,            0.004442,            0.066001,           0.0093908,           0.0093908,           0.0093908
                  10,            0.033179,           0.0087514,            0.065191,            0.085092,             0.85577,             0.29487,              0.2107,            0.022859,           0.0038882,            0.065865,           0.0093146,           0.0093146,           0.0093146
                  11,            0.033342,           0.0082636,            0.064987,             0.11901,             0.77994,             0.33587,             0.24083,            0.021194,           0.0036733,            0.064733,           0.0092385,           0.0092385,           0.0092385
                  12,            0.032696,           0.0081818,             0.06455,            0.098488,             0.92372,             0.34371,             0.21041,            0.033462,           0.0037549,            0.064749,           0.0091623,           0.0091623,           0.0091623
                  13,            0.031441,           0.0077847,            0.063954,             0.12821,             0.61048,             0.27861,             0.21771,            0.020711,           0.0035025,            0.064426,           0.0090862,           0.0090862,           0.0090862
                  14,            0.032153,           0.0076257,            0.063497,             0.16956,             0.58635,             0.29874,             0.21855,            0.021088,           0.0037277,            0.063529,             0.00901,             0.00901,             0.00901
                  15,            0.030622,           0.0078319,            0.063269,             0.38597,             0.45057,              0.3626,             0.25533,            0.022213,           0.0036999,            0.064087,           0.0089338,           0.0089338,           0.0089338
                  16,            0.028067,           0.0073867,            0.062865,             0.58416,              0.4127,             0.47019,             0.29719,            0.030602,           0.0036436,            0.062202,           0.0088577,           0.0088577,           0.0088577
                  17,            0.028951,           0.0072246,            0.062105,             0.73905,             0.35675,             0.48641,             0.34026,            0.030325,           0.0038673,            0.061533,           0.0087815,           0.0087815,           0.0087815
                  18,            0.028452,           0.0076233,            0.061472,             0.30519,             0.71254,             0.45943,             0.32843,            0.018465,           0.0038069,            0.061065,           0.0087054,           0.0087054,           0.0087054
                  19,            0.026599,           0.0073366,            0.060907,             0.44458,             0.43584,             0.54354,             0.40371,             0.02049,           0.0033601,            0.060453,           0.0086292,           0.0086292,           0.0086292
                  20,            0.027553,           0.0077308,            0.060575,             0.62655,             0.38076,             0.55402,             0.44152,            0.017065,           0.0032302,            0.059991,           0.0085531,           0.0085531,           0.0085531
                  21,            0.026826,           0.0068734,            0.059765,             0.70809,             0.52249,             0.62774,             0.44317,            0.021813,            0.003229,            0.059203,           0.0084769,           0.0084769,           0.0084769
                  22,             0.02668,           0.0071744,            0.058357,             0.55559,             0.64958,             0.61682,             0.40082,            0.031233,            0.003362,            0.057797,           0.0084008,           0.0084008,           0.0084008
                  23,            0.025039,           0.0067534,            0.057423,             0.51977,             0.57181,             0.62271,             0.49831,            0.015431,           0.0034881,             0.05651,           0.0083246,           0.0083246,           0.0083246
                  24,             0.02697,           0.0070023,             0.05607,             0.59835,             0.75618,             0.70654,              0.5484,            0.020817,           0.0031194,            0.054298,           0.0082485,           0.0082485,           0.0082485
                  25,            0.025664,           0.0066613,            0.055228,             0.53137,             0.73026,              0.7638,             0.52617,            0.026718,           0.0033881,            0.052722,           0.0081723,           0.0081723,           0.0081723
                  26,            0.027845,           0.0072785,            0.053349,              0.7551,             0.61943,             0.75275,             0.58993,            0.017649,            0.003051,            0.050916,           0.0080962,           0.0080962,           0.0080962
                  27,            0.024942,           0.0065908,            0.051511,             0.76168,             0.60334,             0.77187,             0.55621,            0.019771,            0.002781,            0.048878,             0.00802,             0.00802,             0.00802
                  28,            0.026323,           0.0071358,            0.050481,              0.6944,             0.75962,             0.81856,             0.52698,            0.023794,           0.0032427,            0.047031,           0.0079438,           0.0079438,           0.0079438
                  29,            0.027114,           0.0066731,             0.04839,             0.88923,             0.50999,             0.84521,             0.50954,            0.036194,           0.0034855,            0.045799,           0.0078677,           0.0078677,           0.0078677
                  30,            0.025957,           0.0067186,            0.046418,             0.85618,             0.61662,             0.85135,             0.62846,            0.018844,           0.0030095,            0.043107,           0.0077915,           0.0077915,           0.0077915
                  31,            0.025344,           0.0066479,            0.044688,              0.8389,             0.61176,              0.8361,             0.65735,            0.017018,           0.0030854,            0.041592,           0.0077154,           0.0077154,           0.0077154
                  32,            0.025787,           0.0063826,            0.043791,             0.64535,             0.79255,              0.8943,             0.69443,            0.018344,           0.0028258,            0.039591,           0.0076392,           0.0076392,           0.0076392
                  33,            0.023177,           0.0064941,            0.041766,             0.66077,             0.77526,             0.85404,             0.69273,            0.016148,           0.0028516,            0.038258,           0.0075631,           0.0075631,           0.0075631
                  34,            0.025249,           0.0062811,             0.04201,             0.87692,             0.65254,             0.95081,             0.75344,             0.01697,           0.0027264,            0.037211,           0.0074869,           0.0074869,           0.0074869
                  35,            0.024247,           0.0062307,             0.03937,              0.6924,             0.92632,             0.95124,             0.75125,             0.01733,           0.0029333,            0.034137,           0.0074108,           0.0074108,           0.0074108
                  36,            0.025121,           0.0063857,            0.038243,             0.69703,             0.90846,             0.92222,             0.71772,            0.021582,           0.0029635,            0.033333,           0.0073346,           0.0073346,           0.0073346
                  37,            0.024229,           0.0061128,            0.038016,              0.7049,             0.82259,               0.851,             0.56437,            0.022693,           0.0033342,            0.037685,           0.0072585,           0.0072585,           0.0072585
                  38,            0.024514,           0.0061609,            0.036489,             0.81118,              0.9171,             0.93226,             0.74272,            0.017348,           0.0028845,            0.031373,           0.0071823,           0.0071823,           0.0071823
                  39,            0.023539,           0.0063378,            0.034494,             0.79065,               0.959,              0.9435,             0.74598,            0.017966,            0.002713,            0.028208,           0.0071062,           0.0071062,           0.0071062
                  40,             0.02538,           0.0066407,            0.033066,             0.79703,             0.94345,             0.94849,             0.78962,            0.016582,           0.0028188,            0.025537,             0.00703,             0.00703,             0.00703
                  41,            0.024595,           0.0061883,            0.031408,             0.82085,             0.99638,               0.995,             0.77576,            0.017967,           0.0028615,            0.023352,           0.0069538,           0.0069538,           0.0069538
                  42,            0.024803,           0.0064724,            0.029231,             0.89241,             0.95463,             0.94647,             0.74281,            0.018109,           0.0030709,            0.022472,           0.0068777,           0.0068777,           0.0068777
                  43,            0.024708,           0.0060229,            0.029948,             0.87416,              0.9629,             0.95038,             0.73353,            0.018601,           0.0030661,            0.021281,           0.0068015,           0.0068015,           0.0068015
                  44,            0.025902,           0.0062391,            0.026529,               0.903,             0.99883,               0.995,              0.6848,            0.024054,           0.0030274,            0.019669,           0.0067254,           0.0067254,           0.0067254
                  45,            0.025241,           0.0061369,            0.027185,             0.94504,             0.97039,               0.995,             0.79946,            0.018992,           0.0030009,            0.017891,           0.0066492,           0.0066492,           0.0066492
                  46,            0.024811,           0.0065432,            0.023837,             0.89074,             0.97698,               0.995,             0.79221,             0.01765,           0.0026005,            0.016193,           0.0065731,           0.0065731,           0.0065731
                  47,            0.023571,           0.0061951,            0.022638,             0.91729,             0.97308,               0.995,             0.82756,            0.016424,           0.0025512,            0.015077,           0.0064969,           0.0064969,           0.0064969
                  48,            0.023457,           0.0058784,            0.021428,             0.95955,             0.99016,               0.995,             0.83858,            0.015546,           0.0025381,            0.013216,           0.0064208,           0.0064208,           0.0064208
                  49,            0.023541,           0.0057952,            0.019825,             0.94562,                   1,               0.995,             0.79771,            0.019483,           0.0025351,            0.011762,           0.0063446,           0.0063446,           0.0063446
                  50,            0.023984,            0.006192,            0.019567,             0.83804,             0.97033,             0.98865,             0.79215,            0.019999,           0.0026942,            0.012924,           0.0062685,           0.0062685,           0.0062685
                  51,            0.023946,           0.0062066,            0.019168,             0.91724,             0.96108,               0.995,             0.76745,              0.0187,           0.0025923,            0.014381,           0.0061923,           0.0061923,           0.0061923
                  52,            0.024241,           0.0062489,            0.017911,             0.95208,                   1,               0.995,             0.80263,            0.016775,           0.0025331,           0.0085534,           0.0061162,           0.0061162,           0.0061162
                  53,            0.023823,           0.0060016,            0.015986,             0.96924,                   1,               0.995,             0.82496,            0.017738,           0.0028046,           0.0070222,             0.00604,             0.00604,             0.00604
                  54,            0.023475,           0.0061191,            0.016369,             0.95395,             0.98836,               0.995,             0.67765,             0.02765,           0.0030135,           0.0077134,           0.0059638,           0.0059638,           0.0059638
                  55,            0.022619,           0.0059019,            0.015614,             0.94665,             0.98731,               0.995,             0.81304,            0.017431,           0.0026712,           0.0080403,           0.0058877,           0.0058877,           0.0058877
                  56,            0.022931,           0.0058499,            0.015566,             0.97689,                   1,               0.995,             0.83442,            0.016318,           0.0024177,            0.006379,           0.0058115,           0.0058115,           0.0058115
                  57,             0.02292,           0.0058629,            0.014147,             0.97136,                   1,               0.995,             0.79683,             0.01932,           0.0026084,           0.0055628,           0.0057354,           0.0057354,           0.0057354
                  58,            0.023783,           0.0058071,            0.014449,             0.94477,                   1,               0.995,             0.76878,            0.017276,           0.0022959,           0.0063114,           0.0056592,           0.0056592,           0.0056592
