               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087587,             0.02242,            0.070443,           0.0036657,             0.89231,            0.021247,           0.0077048,            0.055525,             0.01482,            0.068871,            0.070492,           0.0032787,           0.0032787
                   1,            0.050318,            0.022322,            0.066196,             0.36932,             0.19135,             0.18826,            0.074823,            0.033613,            0.011914,            0.063384,            0.040324,           0.0064442,           0.0064442
                   2,             0.04663,            0.017917,            0.062941,             0.30221,             0.39535,             0.35375,             0.14047,            0.035611,           0.0093128,              0.0596,           0.0099869,           0.0094404,           0.0094404
                   3,             0.04045,            0.014558,            0.058479,             0.45769,             0.36962,             0.43176,              0.2724,            0.035114,           0.0071075,            0.053237,           0.0092385,           0.0092385,           0.0092385
                   4,            0.039262,            0.011722,            0.052155,             0.47922,             0.50894,             0.60089,             0.38291,            0.031513,           0.0058069,            0.047197,           0.0092385,           0.0092385,           0.0092385
                   5,            0.034953,            0.010267,            0.047016,             0.47033,             0.68765,             0.65313,             0.38923,            0.028483,           0.0054493,            0.041264,           0.0089846,           0.0089846,           0.0089846
                   6,            0.033096,           0.0093326,            0.040327,             0.83791,             0.60769,             0.79266,             0.52274,            0.024576,           0.0053054,            0.034728,           0.0087308,           0.0087308,           0.0087308
                   7,            0.032284,            0.009091,            0.036134,             0.61379,             0.80378,             0.87924,             0.57846,            0.025766,           0.0051458,            0.030443,           0.0084769,           0.0084769,           0.0084769
                   8,            0.031271,           0.0089208,            0.029963,             0.76811,              0.8956,             0.94504,             0.52726,            0.025347,           0.0050728,            0.025078,           0.0082231,           0.0082231,           0.0082231
                   9,            0.030941,           0.0089316,            0.025131,             0.78865,             0.92681,             0.97107,             0.67793,            0.022647,           0.0049129,            0.020014,           0.0079692,           0.0079692,           0.0079692
                  10,            0.028432,           0.0083222,            0.021758,             0.87767,             0.92898,             0.98121,             0.70614,            0.022195,           0.0045058,            0.015001,           0.0077154,           0.0077154,           0.0077154
                  11,            0.028769,            0.007949,            0.018936,              0.9142,             0.98741,             0.99173,              0.6624,            0.024444,           0.0043958,            0.011905,           0.0074615,           0.0074615,           0.0074615
                  12,            0.027197,           0.0077597,            0.016318,             0.84017,             0.98661,             0.97524,             0.75706,            0.023152,           0.0043439,           0.0097061,           0.0072077,           0.0072077,           0.0072077
                  13,            0.026751,           0.0082185,            0.015308,             0.92348,             0.97986,               0.995,             0.79498,            0.020985,           0.0043205,           0.0080579,           0.0069538,           0.0069538,           0.0069538
                  14,             0.02583,           0.0081018,            0.013517,             0.92917,             0.98209,             0.98799,             0.75897,            0.020113,           0.0042289,           0.0063868,              0.0067,              0.0067,              0.0067
                  15,            0.025566,           0.0078417,            0.011993,             0.95365,              0.9898,               0.995,             0.82879,            0.016936,           0.0040209,            0.005695,           0.0064462,           0.0064462,           0.0064462
